task_id,phase,variant,tag,source_tag,seed,opt,lr,weight_decay,tau_event,lambda_event,topk_ratio,wsi_projection_dropout,fusion_dropout,event_residual_dropout,lambda_decoder_loss,lambda_recon_loss,event_projection_dim,slot_iters,mean_cindex,std_cindex,mean_ipcw,mean_ibs,mean_iauc,mean_gap,mean_best_epoch,mean_best_to_final_drop,summary
6,optimizer,lr0p0006_wd0p001,reg_optimizer_lr0p0006_wd0p001_c7e2af3397_s3,-,3,adamW,0.0006,0.001,0.05,1.0,0.50,0.0,0.0,0.0,1.0,0.01,256,10,0.7958397228312001,0.021185084963709324,0.764553393124925,0.18732321308974997,0.7513762236613788,0.03145070659052376,6.6,0.05930985489623244,hypersearch/results/kirc/SlotSPE/0.0006_b32_survival_months_dss_Dim_256_e_30_g_Pathways_sig_combine_seed3_rW_8_rG_8_sa_event_gated_sp_reg_optimizer_lr0p0006_wd0p001_c7e2af3397_s3/summary.csv
7,optimizer,lr0p0006_wd0p01,reg_optimizer_lr0p0006_wd0p01_a13397562e_s3,-,3,adamW,0.0006,0.01,0.05,1.0,0.50,0.0,0.0,0.0,1.0,0.01,256,10,0.783826469549506,0.021023259329810015,0.7570679703581329,0.22102531925641716,0.749593948550844,0.024550507254003984,5.4,0.08673497371443244,hypersearch/results/kirc/SlotSPE/0.0006_b32_survival_months_dss_Dim_256_e_30_g_Pathways_sig_combine_seed3_rW_8_rG_8_sa_event_gated_sp_reg_optimizer_lr0p0006_wd0p01_a13397562e_s3/summary.csv
8,optimizer,lr0p0006_wd0p05,reg_optimizer_lr0p0006_wd0p05_fcf4d08efe_s3,-,3,adamW,0.0006,0.05,0.05,1.0,0.50,0.0,0.0,0.0,1.0,0.01,256,10,0.7834783705346435,0.02261938171327794,0.7550490337578497,0.18604144456326815,0.7562919484306783,0.052235437926168096,7.4,0.07932398989679076,hypersearch/results/kirc/SlotSPE/0.0006_b32_survival_months_dss_Dim_256_e_30_g_Pathways_sig_combine_seed3_rW_8_rG_8_sa_event_gated_sp_reg_optimizer_lr0p0006_wd0p05_fcf4d08efe_s3/summary.csv
3,optimizer,lr0p0005_wd0p001,reg_optimizer_lr0p0005_wd0p001_08a1b1aa76_s3,-,3,adamW,0.0005,0.001,0.05,1.0,0.50,0.0,0.0,0.0,1.0,0.01,256,10,0.7809645840626261,0.0161841210710934,0.7457200074445554,0.21697576896418166,0.734977348086971,0.029993412582190328,6.4,0.10028505594961812,hypersearch/results/kirc/SlotSPE/0.0005_b32_survival_months_dss_Dim_256_e_30_g_Pathways_sig_combine_seed3_rW_8_rG_8_sa_event_gated_sp_reg_optimizer_lr0p0005_wd0p001_08a1b1aa76_s3/summary.csv
4,optimizer,lr0p0005_wd0p01,reg_optimizer_lr0p0005_wd0p01_239fb93fc3_s3,-,3,adamW,0.0005,0.01,0.05,1.0,0.50,0.0,0.0,0.0,1.0,0.01,256,10,0.7797081263176427,0.019482541466171326,0.7588336765873496,0.2324851242295948,0.7402628179142836,0.03993341990915047,7.2,0.07570019254067126,hypersearch/results/kirc/SlotSPE/0.0005_b32_survival_months_dss_Dim_256_e_30_g_Pathways_sig_combine_seed3_rW_8_rG_8_sa_event_gated_sp_reg_optimizer_lr0p0005_wd0p01_239fb93fc3_s3/summary.csv
5,optimizer,lr0p0005_wd0p05,reg_optimizer_lr0p0005_wd0p05_2bb1e54ee4_s3,-,3,adamW,0.0005,0.05,0.05,1.0,0.50,0.0,0.0,0.0,1.0,0.01,256,10,0.7766260438760397,0.017062514961847814,0.7551880971174281,0.1749963094015241,0.7624890606816885,0.04678213410862488,6.0,0.08966589254776028,hypersearch/results/kirc/SlotSPE/0.0005_b32_survival_months_dss_Dim_256_e_30_g_Pathways_sig_combine_seed3_rW_8_rG_8_sa_event_gated_sp_reg_optimizer_lr0p0005_wd0p05_2bb1e54ee4_s3/summary.csv
0,optimizer,lr0p0004_wd0p001,reg_optimizer_lr0p0004_wd0p001_0fddf040e9_s3,-,3,adamW,0.0004,0.001,0.05,1.0,0.50,0.0,0.0,0.0,1.0,0.01,256,10,0.7699024479897139,0.014407002340154053,0.7608551951796836,0.20230469915492083,0.7663154873806031,0.04571818062738016,6.0,0.08211524641252381,hypersearch/results/kirc/SlotSPE/0.0004_b32_survival_months_dss_Dim_256_e_30_g_Pathways_sig_combine_seed3_rW_8_rG_8_sa_event_gated_sp_reg_optimizer_lr0p0004_wd0p001_0fddf040e9_s3/summary.csv
1,optimizer,lr0p0004_wd0p01,reg_optimizer_lr0p0004_wd0p01_b4f1adbc13_s3,-,3,adamW,0.0004,0.01,0.05,1.0,0.50,0.0,0.0,0.0,1.0,0.01,256,10,0.7696752798344156,0.013458098416865079,0.7500190284000472,0.20249488731582121,0.7460706984083766,0.06367794053160739,8.2,0.07754616486626786,hypersearch/results/kirc/SlotSPE/0.0004_b32_survival_months_dss_Dim_256_e_30_g_Pathways_sig_combine_seed3_rW_8_rG_8_sa_event_gated_sp_reg_optimizer_lr0p0004_wd0p01_b4f1adbc13_s3/summary.csv
2,optimizer,lr0p0004_wd0p05,reg_optimizer_lr0p0004_wd0p05_af173aee30_s3,-,3,adamW,0.0004,0.05,0.05,1.0,0.50,0.0,0.0,0.0,1.0,0.01,256,10,0.7695779928532046,0.013703623137277571,0.7454069878755692,0.20922737057959515,0.7418631051978659,0.05515309116564859,9.0,0.07183659048791653,hypersearch/results/kirc/SlotSPE/0.0004_b32_survival_months_dss_Dim_256_e_30_g_Pathways_sig_combine_seed3_rW_8_rG_8_sa_event_gated_sp_reg_optimizer_lr0p0004_wd0p05_af173aee30_s3/summary.csv
