task_id,phase,variant,tag,source_tag,seed,opt,lr,weight_decay,tau_event,lambda_event,topk_ratio,wsi_projection_dropout,fusion_dropout,event_residual_dropout,lambda_decoder_loss,lambda_recon_loss,event_projection_dim,slot_iters,mean_cindex,std_cindex,mean_ipcw,mean_ibs,mean_iauc,mean_gap,mean_best_epoch,mean_best_to_final_drop,summary
2,dropout,fusion0p1,reg_dropout_fusion0p1_b8300c4a77_s3,reg_optimizer_lr0p0006_wd0p001_c7e2af3397_s3,3,adamW,0.0006,0.001,0.05,1.0,0.50,0.0,0.1,0.0,1.0,0.01,256,10,0.7873141601548022,0.018019117000381727,0.7657524462639524,0.16333237004384574,0.7556634636158588,0.04029560506173173,7.0,0.05962867301879726,hypersearch/results/kirc/SlotSPE/0.0006_b32_survival_months_dss_Dim_256_e_30_g_Pathways_sig_combine_seed3_rW_8_rG_8_sa_event_gated_sp_reg_dropout_fusion0p1_b8300c4a77_s3/summary.csv
1,dropout,wsi0p2,reg_dropout_wsi0p2_e1d58f7561_s3,reg_optimizer_lr0p0006_wd0p001_c7e2af3397_s3,3,adamW,0.0006,0.001,0.05,1.0,0.50,0.2,0.0,0.0,1.0,0.01,256,10,0.7851451054061789,0.018117541318970056,0.7564063503025126,0.19113042389792062,0.7348818563325314,0.06602349896499875,7.8,0.05342067928637626,hypersearch/results/kirc/SlotSPE/0.0006_b32_survival_months_dss_Dim_256_e_30_g_Pathways_sig_combine_seed3_rW_8_rG_8_sa_event_gated_sp_reg_dropout_wsi0p2_e1d58f7561_s3/summary.csv
0,dropout,wsi0p1,reg_dropout_wsi0p1_59fd452904_s3,reg_optimizer_lr0p0006_wd0p001_c7e2af3397_s3,3,adamW,0.0006,0.001,0.05,1.0,0.50,0.1,0.0,0.0,1.0,0.01,256,10,0.7847440564931827,0.028424164205610194,0.7587498830290886,0.1771074122618593,0.7537556624436761,0.03811834199620838,6.2,0.06264561816737343,hypersearch/results/kirc/SlotSPE/0.0006_b32_survival_months_dss_Dim_256_e_30_g_Pathways_sig_combine_seed3_rW_8_rG_8_sa_event_gated_sp_reg_dropout_wsi0p1_59fd452904_s3/summary.csv
3,dropout,fusion0p2,reg_dropout_fusion0p2_787b13aa2b_s3,reg_optimizer_lr0p0006_wd0p001_c7e2af3397_s3,3,adamW,0.0006,0.001,0.05,1.0,0.50,0.0,0.2,0.0,1.0,0.01,256,10,0.7833369763145328,0.01889753738623167,0.7572829619797756,0.23925586338271163,0.7403347573224788,0.015379791802333375,4.8,0.060700134846647644,hypersearch/results/kirc/SlotSPE/0.0006_b32_survival_months_dss_Dim_256_e_30_g_Pathways_sig_combine_seed3_rW_8_rG_8_sa_event_gated_sp_reg_dropout_fusion0p2_787b13aa2b_s3/summary.csv
6,dropout,event0p3,reg_dropout_event0p3_90d319e06f_s3,reg_optimizer_lr0p0006_wd0p001_c7e2af3397_s3,3,adamW,0.0006,0.001,0.05,1.0,0.50,0.0,0.0,0.3,1.0,0.01,256,10,0.7789340707002201,0.020577846423161423,0.7595809196338451,0.17816415501776803,0.7517264819110453,0.07165465369262418,8.0,0.0637697470042115,hypersearch/results/kirc/SlotSPE/0.0006_b32_survival_months_dss_Dim_256_e_30_g_Pathways_sig_combine_seed3_rW_8_rG_8_sa_event_gated_sp_reg_dropout_event0p3_90d319e06f_s3/summary.csv
4,dropout,event0p1,reg_dropout_event0p1_a8155b0b50_s3,reg_optimizer_lr0p0006_wd0p001_c7e2af3397_s3,3,adamW,0.0006,0.001,0.05,1.0,0.50,0.0,0.0,0.1,1.0,0.01,256,10,0.7785091792861822,0.019012643064272666,0.7631201483483221,0.17124087942880653,0.7421295833336528,0.03891518353660093,5.6,0.06559618483005983,hypersearch/results/kirc/SlotSPE/0.0006_b32_survival_months_dss_Dim_256_e_30_g_Pathways_sig_combine_seed3_rW_8_rG_8_sa_event_gated_sp_reg_dropout_event0p1_a8155b0b50_s3/summary.csv
5,dropout,event0p2,reg_dropout_event0p2_f2d519aa6d_s3,reg_optimizer_lr0p0006_wd0p001_c7e2af3397_s3,3,adamW,0.0006,0.001,0.05,1.0,0.50,0.0,0.0,0.2,1.0,0.01,256,10,0.7724940003419807,0.015650170959557563,0.7401362618456369,0.18652060570128123,0.7521568196624007,0.06778093198171904,8.2,0.08387394402501229,hypersearch/results/kirc/SlotSPE/0.0006_b32_survival_months_dss_Dim_256_e_30_g_Pathways_sig_combine_seed3_rW_8_rG_8_sa_event_gated_sp_reg_dropout_event0p2_f2d519aa6d_s3/summary.csv
